timestamp;ewma;instruction
88;-40;FAST
108;-42;FAST
147;-43;FAST
158;-41;FAST
168;-44;FAST
179;-43;FAST
199;-39;FAST
239;-38;FAST
249;-39;FAST
269;-40;FAST
289;-41;FAST
300;-42;FAST
310;-41;FAST
321;-41;FAST
370;-42;FAST
408;-42;FAST
419;-39;FAST
429;-39;FAST
450;-42;FAST
500;-42;FAST
521;-42;FAST
541;-44;FAST
561;-42;FAST
571;-42;FAST
582;-42;FAST
602;-42;FAST
613;-42;FAST
643;-42;FAST
662;-42;FAST
691;-42;FAST
702;-42;FAST
731;-42;FAST
799;-42;FAST
819;-41;FAST
840;-42;FAST
850;-42;FAST
870;-42;FAST
898;-41;FAST
909;-42;FAST
919;-42;FAST
930;-51;FAST
941;-42;FAST
