timestamp;ewma;instruction
24;-42.0;SLOW
33;-40.5;SLOW
38;-40.5;SLOW
44;-42.375;SLOW
49;-42.375;SLOW
54;-39.84375;SLOW
59;-39.84375;SLOW
65;-39.9609375;SLOW
75;-39.990234375;SLOW
80;-39.990234375;SLOW
85;-40.74755859375;SLOW
94;-40.1868896484375;SLOW
104;-38.546722412109375;SLOW
109;-38.546722412109375;SLOW
114;-40.386680603027344;SLOW
119;-40.386680603027344;SLOW
124;-38.596670150756836;SLOW
129;-38.596670150756836;SLOW
135;-39.64916753768921;SLOW
144;-39.9122918844223;SLOW
154;-37.728072971105576;SLOW
159;-37.728072971105576;SLOW
164;-37.932018242776394;SLOW
169;-37.932018242776394;SLOW
175;-37.2330045606941;SLOW
180;-37.2330045606941;SLOW
185;-39.308251140173525;SLOW
190;-39.308251140173525;SLOW
196;-37.57706278504338;SLOW
201;-37.57706278504338;SLOW
206;-39.394265696260845;SLOW
216;-39.84856642406521;SLOW
221;-39.84856642406521;SLOW
226;-39.9621416060163;SLOW
235;-37.740535401504076;SLOW
240;-37.740535401504076;SLOW
245;-41.68513385037602;SLOW
255;-51.671283462594005;FASTER
265;-51.9178208656485;FASTER
274;-55.72945521641213;FASTER
284;-55.93236380410303;FASTER
293;-50.73309095102576;FASTER
302;-54.68327273775644;FASTER
312;-51.17081818443911;FASTER
317;-51.17081818443911;FASTER
322;-51.042704546109775;FASTER
331;-50.260676136527444;FASTER
341;-59.06516903413186;FASTER
350;-62.766292258532964;FASTER
355;-62.766292258532964;FASTER
360;-65.94157306463325;FASTER
370;-63.73539326615831;FASTER
375;-63.73539326615831;FASTER
381;-66.18384831653958;FASTER
390;-64.5459620791349;FASTER
400;-46.13649051978372;FASTER
405;-46.13649051978372;FASTER
411;-41.53412262994593;FASTER
