timestamp;ewma;instruction
50;-45;SLOW
59;-48;FASTER
69;-48;FAST
79;-44;FAST
89;-62;FAST
94;-62;FAST
100;-47;FAST
110;-44;FAST
120;-45;FAST
125;-45;FAST
131;-45;FAST
136;-45;FAST
142;-45;FAST
152;-45;FAST
162;-49;FAST
171;-46;FAST
180;-45;FAST
185;-45;FAST
191;-45;FAST
200;-45;FAST
210;-45;FAST
215;-45;FAST
220;-48;FAST
230;-49;FAST
239;-49;FAST
248;-49;FAST
253;-49;FAST
259;-50;FAST
264;-50;FAST
270;-50;FAST
279;-50;FAST
289;-46;FAST
294;-46;FAST
299;-49;FAST
309;-46;FAST
318;-45;FAST
327;-45;FAST
337;-45;FAST
342;-45;FAST
347;-45;FAST
352;-45;FAST
358;-48;FAST
367;-49;FAST
377;-49;FAST
387;-49;FAST
396;-46;FAST
406;-45;FAST
416;-45;FAST
425;-45;FAST
435;-45;FAST
445;-48;FAST
455;-45;FAST
465;-45;FAST
475;-45;FAST
484;-45;FAST
489;-45;FAST
494;-45;FAST
503;-48;FAST
513;-45;FAST
522;-45;FAST
532;-45;FAST
537;-45;FAST
542;-48;FAST
552;-49;FAST
557;-49;FAST
563;-49;FAST
573;-46;FAST
582;-45;FAST
592;-48;FAST
601;-45;FAST
610;-45;FAST
620;-45;FAST
629;-48;FAST
634;-48;FAST
640;-48;FAST
650;-48;FAST
660;-48;FAST
665;-48;FAST
671;-45;FAST
682;-45;FAST
692;-50;FAST
701;-50;FAST
711;-48;FAST
721;-44;FAST
731;-56;FAST
736;-56;FAST
742;-47;FAST
752;-47;FAST
