timestamp;ewma;instruction
20;-40.0;FAST
30;-41.5;FAST
40;-42.625;FAST
45;-42.625;FAST
51;-42.15625;FAST
60;-42.0390625;FAST
69;-40.509765625;FAST
79;-42.37744140625;FAST
84;-42.37744140625;FAST
90;-47.3443603515625;SLOWER
95;-47.3443603515625;SLOWER
101;-44.086090087890625;SLOWER
111;-43.271522521972656;SLOWER
120;-43.817880630493164;SLOWER
125;-43.817880630493164;SLOWER
130;-43.20447015762329;SLOWER
135;-43.20447015762329;SLOWER
140;-45.30111753940582;SLOWER
149;-42.825279384851456;SLOWER
159;-42.956319846212864;SLOWER
