timestamp;ewma;instruction
22;-49.0;SLOW
26;-49.0;SLOW
28;-49.0;SLOW
32;-51.25;SLOW
34;-51.25;SLOW
37;-61.5625;FASTER
39;-61.5625;FASTER
43;-69.390625;FASTER
45;-69.390625;FASTER
48;-80.34765625;FASTER
50;-80.34765625;FASTER
53;-80.34765625;FASTER
58;-80.34765625;FASTER
60;-80.34765625;FASTER
63;-80.34765625;FASTER
65;-80.34765625;FASTER
68;-80.34765625;FASTER
70;-80.34765625;FASTER
73;-80.34765625;FASTER
75;-80.34765625;FASTER
78;-80.34765625;FASTER
81;-80.34765625;FASTER
83;-80.34765625;FASTER
87;-80.34765625;FASTER
92;-80.34765625;FASTER
94;-80.34765625;FASTER
96;-80.34765625;FASTER
98;-80.34765625;FASTER
