timestamp;ewma;instruction
69;-23.0;BASE
71;-23.0;BASE
73;-23.0;BASE
76;-23.0;BASE
79;-38.75;SLOW
81;-38.75;SLOW
84;-48.6875;FASTER
89;-57.921875;FASTER
93;-72.98046875;FASTER
95;-72.98046875;FASTER
98;-69.2451171875;FASTER
100;-69.2451171875;FASTER
103;-65.311279296875;FASTER
105;-65.311279296875;FASTER
108;-62.07781982421875;FASTER
110;-62.07781982421875;FASTER
113;-54.51945495605469;FASTER
115;-54.51945495605469;FASTER
119;-42.12986373901367;FASTER
121;-42.12986373901367;FASTER
124;-33.03246593475342;FASTER
126;-33.03246593475342;FASTER
129;-33.758116483688354;FASTER
131;-33.758116483688354;FASTER
134;-29.43952912092209;BASE
136;-29.43952912092209;BASE
139;-28.359882280230522;BASE
144;-28.08997057005763;BASE
